2012 Domain Star View: Medicare Part C Report Card Master Table,,,,,,,,
Contract Number,Organization Type,Parent Organization,Organization Marketing Name,"Staying Healthy: Screenings, Tests and Vaccines",Managing Chronic (Long Term) Conditions,Ratings of Plan Responsiveness and Care,"Health Plan Members’ Complaints, Appeals, and Choosing to Leave the Health Plan",Health Plan Customer Service
H2458,Local CCP,Medica Holding Company,Medica Health Plans,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars,Not enough data to calculate stars for this category
H2459,Local CCP,UCare Minnesota,UCare,4 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars,5 stars
H2461,1876 Cost,Blue Cross and Blue Shield of Minnesota,Blue Cross and Blue Shield of Minnesota,4 out of 5 stars,4 out of 5 stars,5 stars,5 stars,3 out of 5 stars
H2462,1876 Cost,"HealthPartners, Inc.",HealthPartners,4 out of 5 stars,5 stars,5 stars,5 stars,5 stars
H2486,Local CCP,Humana Inc.,"Humana Medical Plan of Utah, Inc.",3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H2491,Local CCP,"WellCare Health Plans, Inc.",'Ohana Health Plan,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,5 stars,Not enough data to calculate stars for this category
H2542,Local CCP,Humana Inc.,Humana Insurance Company,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H2593,Local CCP,"WellPoint, Inc.","CareMore Health Plan of Arizona, Inc.",Not enough data to calculate stars for this category,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H2610,Local CCP,Essence Group Holdings Corporation,Essence Healthcare,4 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars,4 out of 5 stars
H2611,Local CCP,Coventry Health Care Inc.,Coventry Health Care,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H2643,Local CCP,L.A. Care Health Plan,L.A. Care Health Plan Medicare Advantage,1 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
H2649,Local CCP,Humana Inc.,"Humana Health Plan, Inc.",4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H2654,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H2663,Local CCP,Coventry Health Care Inc.,"Group Health Plan, Inc.",4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H2667,Local CCP,Coventry Health Care Inc.,Coventry Health Care,4 out of 5 stars,4 out of 5 stars,5 stars,5 stars,3 out of 5 stars
H2672,Local CCP,Coventry Health Care Inc.,COVENTRY HEALTH CARE,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H2701,Local CCP,New West Health Services,New West Health Services,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,5 stars,3 out of 5 stars
H2773,Local CCP,"QHP Financial Group, Inc.",QUALITY HEALTH PLANS,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H2775,Local CCP,Universal American Corp.,Universal American Corp.,4 out of 5 stars,2 out of 5 stars,3 out of 5 stars,1 out of 5 stars,5 stars
H2802,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
H2803,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H2810,Local CCP,Group Health Cooperative,"Group Health Options, Inc.",Not enough data to calculate stars for this category,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H2816,PFFS,Universal American Corp.,Universal American Corp.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,2 out of 5 stars,Plan too new to be measured
H2836,Local CCP,"WellPoint, Inc.",Anthem Blue Cross and Blue Shield,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2899,Local CCP,Arcadian Management Services Inc.,Southeast Community Care,2 out of 5 stars,3 out of 5 stars,1 out of 5 stars,1 out of 5 stars,Not enough data to calculate stars for this category
H2905,Local CCP,"UnitedHealth Group, Inc.","Sierra Health and Life Insurance Company, Inc.",2 out of 5 stars,1 out of 5 stars,4 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H2906,Local CCP,Renown Health,Senior Care Plus,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H2926,Local CCP,PrimeWest Health System,PrimeWest Health,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H2931,Local CCP,"UnitedHealth Group, Inc.","Health Plan of Nevada, Inc.",3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H2944,PFFS,Humana Inc.,Humana Insurance Company,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H2949,Local CCP,Humana Inc.,"Humana Health Plan, Inc.",4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H2960,Local CCP,Renown Health,Senior Care Plus,3 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
H2997,Local CCP,"WellPoint, Inc.",Anthem Blue Cross and Blue Shield,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,Not enough data to calculate stars for this category
H3028,Local CCP,Humana Inc.,"Humana Health Plan, Inc.",3 out of 5 stars,3 out of 5 stars,1 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H3044,Local CCP,"Neighborhood Health Providers, Inc.",Welborn Health Plans,4 out of 5 stars,4 out of 5 stars,5 stars,5 stars,3 out of 5 stars
H3107,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H3113,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H3132,Local CCP,AIDS Healthcare Foundation,Positive Healthcare Partners,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H3144,Local CCP,Coventry Health Care Inc.,PersonalCare,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3152,Local CCP,Aetna Inc.,Aetna Medicare,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H3154,Local CCP,"Horizon Blue Cross Blue Shield of New Jersey, Inc.","Horizon Blue Cross Blue Shield of New Jersey, Inc.",4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H3156,Local CCP,Independence Blue Cross,AmeriHealth 65,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H3164,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare Community Plan,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars
H3204,Local CCP,Presbyterian Healthcare Services,Presbyterian Senior Care (HMO),4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars,5 stars
H3206,Local CCP,Presbyterian Healthcare Services,Presbyterian MediCare PPO,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H3209,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
H3240,Local CCP,AMERIGROUP Corporation,Amerigroup Community Care,2 out of 5 stars,3 out of 5 stars,1 out of 5 stars,2 out of 5 stars,3 out of 5 stars
H3251,Local CCP,Ardent Health Services.,Lovelace Medicare Plan,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,5 stars,4 out of 5 stars
H3283,Local CCP,Medica Holding Company,Medica Health Plans,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3305,Local CCP,"MVP Health Care, Inc.",MVP HEALTH CARE,4 out of 5 stars,4 out of 5 stars,5 stars,5 stars,4 out of 5 stars
H3307,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H3312,Local CCP,Aetna Inc.,Aetna Medicare,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H3314,1876 Cost,"EmblemHealth, Inc.",HIP Health Plan of Greater New York,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,1 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H3327,Local CCP,"Touchstone Health Partnership, Inc",Touchstone Health,3 out of 5 stars,3 out of 5 stars,1 out of 5 stars,1 out of 5 stars,2 out of 5 stars
H3328,Local CCP,"The New York State Catholic Health Plan, Inc.",Fidelis Care,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars
H3330,Local CCP,"EmblemHealth, Inc.",EmblemHealth Medicare HMO,4 out of 5 stars,4 out of 5 stars,1 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H3333,PFFS,Universal American Corp.,Universal American Corp.,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,1 out of 5 stars,4 out of 5 stars
H3335,Local CCP,"Lifetime Healthcare, Inc.","Excellus Health Plan, Inc",4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H3337,Local CCP,"Liberty Health Advantage, Inc.",Liberty Health Advantage,2 out of 5 stars,2 out of 5 stars,1 out of 5 stars,2 out of 5 stars,2 out of 5 stars
H3342,Local CCP,"WellPoint, Inc.",Empire BlueCross BlueShield,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H3344,Local CCP,"Independent Health Association, Inc.",Independent Health,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H3346,Local CCP,"MVP Health Care, Inc.",MVP HEALTH CARE,5 stars,5 stars,4 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
H3347,Local CCP,"Elderplan, Inc.",Elderplan,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H3351,Local CCP,"Lifetime Healthcare, Inc.","Excellus Health Plan, Inc",4 out of 5 stars,4 out of 5 stars,5 stars,5 stars,4 out of 5 stars
H3356,1876 Cost,"Lifetime Healthcare, Inc.",Excellus BlueCross BlueShield,4 out of 5 stars,4 out of 5 stars,5 stars,5 stars,Not enough data to calculate stars for this category
H3359,Local CCP,"Healthfirst, Inc.",Healthfirst Medicare Plan,4 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H3361,Local CCP,"WellCare Health Plans, Inc.",WellCare,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,5 stars
H3362,Local CCP,"Independent Health Association, Inc.",Independent Health,4 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars,4 out of 5 stars
H3370,Local CCP,"WellPoint, Inc.",Empire BlueCross BlueShield,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H3379,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H3384,Local CCP,HealthNow New York Inc.,BlueCross BlueShield of WNY and BlueShield of NENY,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars
H3387,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare Community Plan,4 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category,2 out of 5 stars,2 out of 5 stars
H3388,Local CCP,"Capital District Physicians' Health Plan, Inc.",CDPHP Medicare Choices,4 out of 5 stars,4 out of 5 stars,5 stars,5 stars,4 out of 5 stars
H3404,Local CCP,Blue Cross and Blue Shield of North Carolina,Blue Cross and Blue Shield of North Carolina,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H3405,Local CCP,Humana Inc.,Humana Insurance Company,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H3410,PFFS,Munich American Holding Corporation,Sterling Life Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data to calculate stars for this category,Plan too new to be measured
H3421,PFFS,"America's 1st Choice Health Plans, Inc.",America's 1st Choice Health Plans,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data to calculate stars for this category,Plan too new to be measured
H3449,Local CCP,Blue Cross and Blue Shield of North Carolina,Blue Cross and Blue Shield of North Carolina,4 out of 5 stars,4 out of 5 stars,5 stars,5 stars,4 out of 5 stars
H3456,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H3503,1876 Cost,Heart of America Health Plan,Heart of America Health Plan,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H3528,Local CCP,"EmblemHealth, Inc.","ConnectiCare, Inc.",4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H3533,Local CCP,Arcadian Management Services Inc.,Northeast Community Care,3 out of 5 stars,Not enough data to calculate stars for this category,3 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H3597,Local CCP,Aetna Inc.,Aetna Medicare,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H3619,Local CCP,Humana Inc.,Humana Insurance Company,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H3620,Local CCP,Aultman Health Foundation,PrimeTime Health Plan,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,5 stars,5 stars,Not enough data to calculate stars for this category
H3623,Local CCP,Aetna Inc.,Aetna Medicare,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H3653,Local CCP,Promedica Health System,Paramount Elite,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,5 stars,4 out of 5 stars
H3655,Local CCP,"WellPoint, Inc.",Anthem Blue Cross and Blue Shield,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H3659,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H3660,Local CCP,Summa Health System,SummaCare Secure,3 out of 5 stars,4 out of 5 stars,5 stars,5 stars,5 stars
H3664,Local CCP,Aultman Health Foundation,PrimeTime Health Plan,4 out of 5 stars,4 out of 5 stars,5 stars,5 stars,3 out of 5 stars
H3668,Local CCP,Trinity Health,MediGold,3 out of 5 stars,3 out of 5 stars,5 stars,5 stars,4 out of 5 stars
H3672,Local CCP,Health Plan of the Upper Ohio Valley,The Health Plan,3 out of 5 stars,4 out of 5 stars,5 stars,5 stars,4 out of 5 stars
H3706,Local CCP,Universal American Corp.,Universal American Corp.,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H3708,Local CCP,Universal American Corp.,Universal American Corp.,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H3749,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H3755,Local CCP,"CommunityCare Managed Healthcare Plans of OK, Inc.",CommunityCare Senior Health Plan (HMO),3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H3805,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H3810,Local CCP,Mid Rogue Community Health Plan,CareSource,3 out of 5 stars,3 out of 5 stars,5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
H3811,Local CCP,Samaritan Health Services,Samaritan Advantage Health Plan,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars,Not enough data to calculate stars for this category
H3812,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H3813,Local CCP,"Health Services Group, Inc.","ODS Health Plan, Inc.",4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,5 stars,Not enough data to calculate stars for this category
H3814,Local CCP,ATRIO Health Plans,ATRIO Health Plans,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,5 stars,Not enough data to calculate stars for this category
H3815,Local CCP,Honored Citizens Choice Health Plan,Citizens Choice Healthplan,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H3817,Local CCP,The Regence Group,Regence BlueCross BlueShield of Oregon,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H3818,Local CCP,FamilyCare Incorporated,"FamilyCare Health Plans, Inc.",3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H3832,Local CCP,Hawaii Medical Service Association,Akamai Advantage by HMSA,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data to calculate stars for this category,Plan too new to be measured
H3864,Local CCP,PacificSource Health Plans,PacificSource Medicare,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars,5 stars
H3887,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H3907,Local CCP,University of Pittsburgh Medical Center,UPMC Health Plan,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars
H3909,Local CCP,Independence Blue Cross,Personal Choice 65,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H3912,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
H3916,Local CCP,Highmark Inc.,Highmark Inc.,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H3920,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H3921,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H3923,Local CCP,Capital BlueCross,Capital Advantage Insurance Company,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H3924,Local CCP,Geisinger Health System,Geisinger Gold,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H3931,Local CCP,Aetna Inc.,Aetna Medicare,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H3949,Local CCP,"HealthSpring, Inc.",Bravo Health,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H3952,Local CCP,Independence Blue Cross,Keystone 65,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H3954,Local CCP,Geisinger Health System,Geisinger Gold,4 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars,5 stars
H3957,Local CCP,Highmark Inc.,"Keystone Health Plan West, Inc.",4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H3959,Local CCP,Coventry Health Care Inc.,HealthAmerica,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H3962,Local CCP,Capital BlueCross,"Keystone Health Plan Central, Inc.",4 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars,4 out of 5 stars
H3964,Local CCP,"HealthSpring, Inc.",Bravo Health,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H4003,Local CCP,"Aveta, LLC.",Medicare y Mucho Mßs,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars,2 out of 5 stars
H4004,Local CCP,"Aveta, LLC.","Preferred Medicare Choice, Inc.",3 out of 5 stars,2 out of 5 stars,5 stars,3 out of 5 stars,2 out of 5 stars
H4005,Local CCP,Triple-S Management Corporation,"Triple-S Salud, Inc.",3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H4006,Local CCP,"Medical Card System, Inc.",MCS Classicare,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars
H4007,Local CCP,Humana Inc.,"HUMANA HEALTH PLANS OF PUERTO RICO, INC.",3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars
H4011,Local CCP,"First Medical Health Plan, Inc.","First Medical Health Plan, Inc.",3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H4012,Local CCP,Triple-S Management Corporation,"Triple-S Salud, Inc.",2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars
H4036,Local CCP,"WellPoint, Inc.",Anthem Blue Cross and Blue Shield,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H4102,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H4123,Local CCP,Mercy Health Alliance,MercyCare Health Plans,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4125,Local CCP,Arcadian Management Services Inc.,Arcadian Health Plan,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H4141,Local CCP,Humana Inc.,"Humana Employers Health Plan of Georgia, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H4152,Local CCP,Blue Cross & Blue Shield of Rhode Island,Blue Cross & Blue Shield of Rhode Island,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H4155,Local CCP,Public Health Trust of Miami-Dade County,JMH Health Plan,Not enough data to calculate stars for this category,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H4199,Local CCP,"Florida Healthcare Plus, Inc.",FLORIDA HEALTHCARE PLUS,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4209,Local CCP,BlueCross BlueShield of South Carolina (BCBSSC),Blue Cross Blue Shield of South Carolina,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars
H4211,Local CCP,AMERIGROUP Corporation,Amerigroup Community Care,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4213,PFFS,USAble Mutual Insurance Company,ARKANSAS BLUE CROSS AND BLUE SHIELD,3 out of 5 stars,Not enough data to calculate stars for this category,3 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
H4268,PFFS,"America?s 1st Choice Insurance Company of NC, Inc.",America's 1st Choice Insurance Company of NC,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data to calculate stars for this category,Plan too new to be measured
H4270,Local CCP,UCare Minnesota,UCare,4 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
H4279,Local CCP,University of Pittsburgh Medical Center,UPMC for You Advantage,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4346,Local CCP,"WellPoint, Inc.",CareMore Health Plan of Nevada,Not enough data to calculate stars for this category,4 out of 5 stars,2 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H4406,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H4407,Local CCP,"HealthSpring, Inc.",HealthSpring,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H4408,Local CCP,Humana Inc.,Humana Insurance Company,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H4454,Local CCP,"HealthSpring, Inc.",HealthSpring,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H4456,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H4461,Local CCP,Humana Inc.,"Cariten Health Plan, Inc.",4 out of 5 stars,3 out of 5 stars,5 stars,4 out of 5 stars,4 out of 5 stars
H4506,Local CCP,Universal American Corp.,Universal American Corp.,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H4510,Local CCP,Humana Inc.,"HUMANA HEALTH PLAN OF TEXAS, INC.",3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H4513,Local CCP,"HealthSpring, Inc.",HealthSpring,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H4514,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars
H4520,Local CCP,Humana Inc.,Humana Insurance Company,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H4522,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H4523,Local CCP,Aetna Inc.,Aetna Medicare,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
