2010 Measure Star View: Medicare Part C Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2108,Local CCP,"Bravo Health, Inc.",Bravo Health,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars,2 out of 5 stars,1 out of 5 stars,3 out of 5 stars,4 out of 5 stars,1 out of 5 stars,3 out of 5 stars,1 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars,2 out of 5 stars,2 out of 5 stars,1 out of 5 stars,1 out of 5 stars,2 out of 5 stars,1 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,5 stars,3 out of 5 stars,4 out of 5 stars
H2109,National PACE,Johns Hopkins Health System Corporation,Hopkins ElderPlus,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H2111,Local CCP,"UnitedHealth Group, Inc.",Evercare« by UnitedHealthcare,1 out of 5 stars,Plan not required to report measure,2 out of 5 stars,1 out of 5 stars,5 stars,2 out of 5 stars,2 out of 5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,1 out of 5 stars,2 out of 5 stars,4 out of 5 stars,1 out of 5 stars,1 out of 5 stars,Plan not required to report measure,Not enough data available to calculate measure,1 out of 5 stars,Not enough data available to calculate measure,5 stars,1 out of 5 stars,2 out of 5 stars,2 out of 5 stars,Not enough data available to calculate measure,1 out of 5 stars,1 out of 5 stars,2 out of 5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H2112,Local CCP,Aetna Inc.,Aetna Medicare,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,1 out of 5 stars,3 out of 5 stars,4 out of 5 stars,5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,1 out of 5 stars,3 out of 5 stars
H2150,1876 Cost,"Kaiser Foundation Health Plan, Inc.",Kaiser Permanente Medicare Plus,5 stars,5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars,5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,5 stars,4 out of 5 stars,5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,5 stars,5 stars,3 out of 5 stars,Not enough data available to calculate measure,Not available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H2165,Local CCP,"HealthSpring, Inc.",HealthSpring Life & Health,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2169,Local CCP,University of Pittsburgh Medical Center,UPMC Health Plan,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2174,Local CCP,Trillium Community Health Plan,Trillium Advantage,1 out of 5 stars,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,1 out of 5 stars,3 out of 5 stars,4 out of 5 stars,Not enough data available to calculate measure,3 out of 5 stars,4 out of 5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,5 stars,5 stars,3 out of 5 stars,5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,4 out of 5 stars,Not available,5 stars,5 stars,5 stars
H2182,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2218,National PACE,"Harbor Health Services, Inc.","Elder Service Plan of Harbor Health Services, Inc",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H2219,National PACE,Fallon Community Health Plan,Fallon Community Health Plan - Summit ElderCare,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H2220,National PACE,"Uphams Corner Health Committee, Inc.","Uphams Corner Health Committee, Inc.",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H2221,National PACE,Cambridge Health Alliance,Elder Srvc Pln/Cambridge Health Alliance,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H2222,National PACE,Elder Service Plan of the North Shore,Elder Service Plan of the North Shore,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H2223,National PACE,Elder Svc Pln/E Boston Health Center,Elder Svc Pln/E Boston Health Center,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H2224,Local CCP,"Senior Whole Health, LLC",Senior Whole Health,5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,2 out of 5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,5 stars,1 out of 5 stars,1 out of 5 stars,3 out of 5 stars,2 out of 5 stars,1 out of 5 stars,Plan not required to report measure,Plan not required to report measure,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars,5 stars,3 out of 5 stars,5 stars,5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,5 stars,2 out of 5 stars,3 out of 5 stars
H2225,Local CCP,Commonwealth Care Alliance,"Commonwealth Care Alliance, Inc.",4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars,2 out of 5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,5 stars,Not enough data available to calculate measure,3 out of 5 stars,4 out of 5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,3 out of 5 stars,5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,5 stars,2 out of 5 stars,3 out of 5 stars
H2226,Local CCP,"UnitedHealth Group, Inc.",Evercare« by UnitedHealthcare,5 stars,4 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars,5 stars,2 out of 5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,5 stars,1 out of 5 stars,4 out of 5 stars,2 out of 5 stars,Not enough data available to calculate measure,1 out of 5 stars,Plan not required to report measure,Plan not required to report measure,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H2228,Local CCP,"UnitedHealth Group, Inc.",Evercare« by UnitedHealthcare,3 out of 5 stars,Plan not required to report measure,3 out of 5 stars,5 stars,5 stars,3 out of 5 stars,2 out of 5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,1 out of 5 stars,3 out of 5 stars,4 out of 5 stars,1 out of 5 stars,3 out of 5 stars,Plan not required to report measure,2 out of 5 stars,1 out of 5 stars,Not enough data available to calculate measure,5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,Not enough data available to calculate measure,3 out of 5 stars,3 out of 5 stars,5 stars,4 out of 5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H2230,Local CCP,"Blue Cross and Blue Shield of Massachusetts, Inc.",Blue Cross and Blue Shield of Massachusetts,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,3 out of 5 stars,3 out of 5 stars,Not enough data available to calculate measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,Not enough data available to calculate measure,3 out of 5 stars,2 out of 5 stars,5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,3 out of 5 stars,Not available,4 out of 5 stars,5 stars,3 out of 5 stars
H2232,Chronic Care,Health Diaglog,Health Diaglog,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H2237,Local CCP,Independent Care Health Plan Inc.,iCare,1 out of 5 stars,1 out of 5 stars,3 out of 5 stars,1 out of 5 stars,2 out of 5 stars,3 out of 5 stars,1 out of 5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,1 out of 5 stars,3 out of 5 stars,4 out of 5 stars,Not enough data available to calculate measure,2 out of 5 stars,1 out of 5 stars,Not enough data available to calculate measure,2 out of 5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,3 out of 5 stars,2 out of 5 stars,1 out of 5 stars
H2241,Local CCP,,Golden State Medicare Health Plan,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2256,Local CCP,"TAHMO, Inc.",Tufts Health Plan,5 stars,5 stars,4 out of 5 stars,5 stars,4 out of 5 stars,5 stars,5 stars,4 out of 5 stars,3 out of 5 stars,5 stars,3 out of 5 stars,5 stars,2 out of 5 stars,5 stars,5 stars,4 out of 5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars,5 stars,5 stars,5 stars,5 stars,Not available,5 stars,5 stars,3 out of 5 stars
H2261,Local CCP,"Blue Cross and Blue Shield of Massachusetts, Inc.",Blue Cross and Blue Shield of Massachusetts,5 stars,5 stars,4 out of 5 stars,5 stars,4 out of 5 stars,5 stars,5 stars,4 out of 5 stars,3 out of 5 stars,5 stars,3 out of 5 stars,5 stars,2 out of 5 stars,5 stars,4 out of 5 stars,4 out of 5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,5 stars,5 stars,3 out of 5 stars,5 stars,Not available,4 out of 5 stars,5 stars,3 out of 5 stars
H2291,Local CCP,"Jaahel Group, Inc.",ProSalud HMO Corp,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,1 out of 5 stars,Not available,5 stars,4 out of 5 stars,1 out of 5 stars
H2312,Local CCP,Health Alliance Plan (HAP),HAP Senior Plus,5 stars,5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,5 stars,1 out of 5 stars,5 stars,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,5 stars,4 out of 5 stars,4 out of 5 stars,5 stars,Not available,4 out of 5 stars,5 stars,3 out of 5 stars
H2318,National PACE,Henry Ford Health System,Henry Ford Health System,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H2319,PFFS,Blue Cross Blue Shield of Michigan,Blue Cross Blue Shield of Michigan,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,4 out of 5 stars,4 out of 5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,5 stars,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars,Not available,4 out of 5 stars,5 stars,1 out of 5 stars
H2320,Local CCP,Spectrum Health System,Priority Health Medicare,5 stars,5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,5 stars,3 out of 5 stars,5 stars,1 out of 5 stars,5 stars,5 stars,5 stars,2 out of 5 stars,3 out of 5 stars,1 out of 5 stars,5 stars,5 stars,5 stars,5 stars,5 stars,4 out of 5 stars,5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,5 stars,Not available,3 out of 5 stars,5 stars,4 out of 5 stars
H2322,Local CCP,Health Alliance Plan (HAP),Alliance Medicare PPO,5 stars,Plan not required to report measure,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,5 stars,3 out of 5 stars,5 stars,Not enough data available to calculate measure,3 out of 5 stars,Plan not required to report measure,Not enough data available to calculate measure,Not enough data available to calculate measure,3 out of 5 stars,3 out of 5 stars,5 stars,4 out of 5 stars,3 out of 5 stars,Not enough data available to calculate measure,5 stars,3 out of 5 stars,5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,4 out of 5 stars,Not available,4 out of 5 stars,5 stars,3 out of 5 stars
H2323,Local CCP,Fidelis SecureCare,Fidelis SecureCare Of Michigan,1 out of 5 stars,1 out of 5 stars,2 out of 5 stars,1 out of 5 stars,4 out of 5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,5 stars,Not enough data available to calculate measure,3 out of 5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,5 stars,5 stars,3 out of 5 stars,3 out of 5 stars
H2354,Local CCP,HealthPlus of Michigan,HealthPlus of Michigan,5 stars,5 stars,5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars,3 out of 5 stars,5 stars,3 out of 5 stars,5 stars,3 out of 5 stars,5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,5 stars,3 out of 5 stars,3 out of 5 stars,5 stars,3 out of 5 stars,3 out of 5 stars,5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,5 stars,Not available,5 stars,4 out of 5 stars,5 stars
H2386,National PACE,"Appalachian Agency for Senior Citizens, Inc.","Appalachian Agency for Senior Citizens, Inc,",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H2406,Local CCP,"UnitedHealth Group, Inc.",Evercare« by UnitedHealthcare,1 out of 5 stars,Plan not required to report measure,2 out of 5 stars,4 out of 5 stars,5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,2 out of 5 stars,4 out of 5 stars,1 out of 5 stars,3 out of 5 stars,Plan not required to report measure,Not enough data available to calculate measure,1 out of 5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,4 out of 5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H2409,PFFS,Medica Health Plans,Medica Insurance Company,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,1 out of 5 stars,2 out of 5 stars,5 stars,3 out of 5 stars,5 stars
H2410,PFFS,Medica Health Plans,Medica Health Plans,4 out of 5 stars,Plan not required to report measure,4 out of 5 stars,5 stars,5 stars,3 out of 5 stars,3 out of 5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,1 out of 5 stars,4 out of 5 stars,Plan not required to report measure,1 out of 5 stars,1 out of 5 stars,3 out of 5 stars,5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,4 out of 5 stars,2 out of 5 stars,5 stars,3 out of 5 stars,2 out of 5 stars
H2411,Local CCP,Fallon Community Health Plan,Fallon Community Health Plan,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,4 out of 5 stars,Not available,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars
