2010 Domain Star View: Medicare Part C Report Card Master Table,,,,,,,,
Contract Number,Organization Type,Parent Organization,Organization Marketing Name,"Staying Healthy: Screenings, Tests and Vaccines",Managing Chronic (Long Term) Conditions,Ratings of Health Plan Responsiveness and Care,"Health Plan Members’ Complaints, Appeals, and Choosing to Leave",Health Plan’s Telephone Customer Service
H2064,National PACE,Geisinger Health System,LIFE Geisinger,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H2108,Local CCP,"Bravo Health, Inc.",Bravo Health,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H2109,National PACE,Johns Hopkins Health System Corporation,Hopkins ElderPlus,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H2111,Local CCP,"UnitedHealth Group, Inc.",Evercare« by UnitedHealthcare,2 out of 5 stars,2 out of 5 stars,1 out of 5 stars,Not enough data to calculate stars for this category,4 out of 5 stars
H2112,Local CCP,Aetna Inc.,Aetna Medicare,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H2150,1876 Cost,"Kaiser Foundation Health Plan, Inc.",Kaiser Permanente Medicare Plus,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
H2165,Local CCP,"HealthSpring, Inc.",HealthSpring Life & Health,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2169,Local CCP,University of Pittsburgh Medical Center,UPMC Health Plan,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2174,Local CCP,Trillium Community Health Plan,Trillium Advantage,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars,5 stars
H2182,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2218,National PACE,"Harbor Health Services, Inc.","Elder Service Plan of Harbor Health Services, Inc",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H2219,National PACE,Fallon Community Health Plan,Fallon Community Health Plan - Summit ElderCare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H2220,National PACE,"Uphams Corner Health Committee, Inc.","Uphams Corner Health Committee, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H2221,National PACE,Cambridge Health Alliance,Elder Srvc Pln/Cambridge Health Alliance,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H2222,National PACE,Elder Service Plan of the North Shore,Elder Service Plan of the North Shore,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H2223,National PACE,Elder Svc Pln/E Boston Health Center,Elder Svc Pln/E Boston Health Center,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H2224,Local CCP,"Senior Whole Health, LLC",Senior Whole Health,4 out of 5 stars,2 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category,3 out of 5 stars
H2225,Local CCP,Commonwealth Care Alliance,"Commonwealth Care Alliance, Inc.",4 out of 5 stars,Not enough data to calculate stars for this category,4 out of 5 stars,Not enough data to calculate stars for this category,3 out of 5 stars
H2226,Local CCP,"UnitedHealth Group, Inc.",Evercare« by UnitedHealthcare,4 out of 5 stars,2 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category,4 out of 5 stars
H2228,Local CCP,"UnitedHealth Group, Inc.",Evercare« by UnitedHealthcare,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,5 stars,4 out of 5 stars
H2230,Local CCP,"Blue Cross and Blue Shield of Massachusetts, Inc.",Blue Cross and Blue Shield of Massachusetts,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H2232,Chronic Care,Health Diaglog,Health Diaglog,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H2237,Local CCP,Independent Care Health Plan Inc.,iCare,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category,2 out of 5 stars
H2241,Local CCP,,Golden State Medicare Health Plan,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2256,Local CCP,"TAHMO, Inc.",Tufts Health Plan,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars
H2261,Local CCP,"Blue Cross and Blue Shield of Massachusetts, Inc.",Blue Cross and Blue Shield of Massachusetts,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars
H2291,Local CCP,"Jaahel Group, Inc.",ProSalud HMO Corp,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars
H2312,Local CCP,Health Alliance Plan (HAP),HAP Senior Plus,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,5 stars,4 out of 5 stars
H2318,National PACE,Henry Ford Health System,Henry Ford Health System,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H2319,PFFS,Blue Cross Blue Shield of Michigan,Blue Cross Blue Shield of Michigan,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H2320,Local CCP,Spectrum Health System,Priority Health Medicare,4 out of 5 stars,3 out of 5 stars,5 stars,5 stars,4 out of 5 stars
H2322,Local CCP,Health Alliance Plan (HAP),Alliance Medicare PPO,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars
H2323,Local CCP,Fidelis SecureCare,Fidelis SecureCare Of Michigan,2 out of 5 stars,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars
H2354,Local CCP,HealthPlus of Michigan,HealthPlus of Michigan,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,5 stars,5 stars
H2386,National PACE,"Appalachian Agency for Senior Citizens, Inc.","Appalachian Agency for Senior Citizens, Inc,",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H2406,Local CCP,"UnitedHealth Group, Inc.",Evercare« by UnitedHealthcare,3 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars
H2409,PFFS,Medica Health Plans,Medica Insurance Company,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,4 out of 5 stars
H2410,PFFS,Medica Health Plans,Medica Health Plans,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H2411,Local CCP,Fallon Community Health Plan,Fallon Community Health Plan,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars
H2416,Local CCP,PrimeWest Health System,PrimeWest Health,4 out of 5 stars,2 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category,4 out of 5 stars
H2417,Local CCP,Itasca County Health & Human Services,Itasca Medical Care,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars
H2419,Local CCP,South Country Health Alliance,South Country Health Alliance,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category,3 out of 5 stars
H2422,Local CCP,"HealthPartners, Inc.",HealthPartners Classic MN Senior Health Options,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category,5 stars
H2425,Local CCP,Blue Cross and Blue Shield of Minnesota,Blue Plus,4 out of 5 stars,3 out of 5 stars,5 stars,2 out of 5 stars,4 out of 5 stars
H2450,1876 Cost,Medica Health Plans,Medica Insurance Company,4 out of 5 stars,3 out of 5 stars,5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
H2456,Local CCP,UCare Minnesota,UCare,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category,4 out of 5 stars
H2457,Local CCP,Metropolitan Health Plan,Metropolitan Health Plan MSHO,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,Not enough data to calculate stars for this category,4 out of 5 stars
H2458,Local CCP,Medica Health Plans,Medica Health Plans,4 out of 5 stars,2 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category,3 out of 5 stars
H2459,Local CCP,UCare Minnesota,UCare,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars
H2461,1876 Cost,Blue Cross and Blue Shield of Minnesota,Blue Cross Blue Shield of Minnesota,3 out of 5 stars,Not enough data to calculate stars for this category,4 out of 5 stars,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H2462,1876 Cost,"HealthPartners, Inc.",HealthPartners Freedom Plan,4 out of 5 stars,3 out of 5 stars,5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
H2481,Local CCP,Mid Rogue Community Health Plan,CareSource,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,5 stars
H2486,Local CCP,Humana Inc.,Humana Medical Plan of Utah,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,2 out of 5 stars
H2491,Local CCP,"WellCare Health Plans, Inc.",WellCare,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2537,National PACE,Lutheran Social Services of South Central PA,"LIFE Lutheran Services, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H2542,Local CCP,Humana Inc.,Humana Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2593,Local CCP,CareMore Medical Enterprises,"CareMore Health Plan of Arizona, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2609,National PACE,Alexian Brothers Community Services,Alexian Brothers Community Services,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H2610,Local CCP,Essence LLP,Essence Healthcare,4 out of 5 stars,2 out of 5 stars,5 stars,4 out of 5 stars,4 out of 5 stars
H2611,Local CCP,Sisters of Mercy Health System-St. Louis.,Mercy Health Plans,4 out of 5 stars,Not enough data to calculate stars for this category,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H2613,PFFS,"Wellpoint, Inc.",Anthem Blue Cross and Blue Shield,2 out of 5 stars,Not enough data to calculate stars for this category,2 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H2643,Local CCP,L.A. Care Health Plan,L.A. Care Health Plan Medicare Advantage,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars
H2649,Local CCP,Humana Inc.,"Humana Health Plan, Inc.",4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,2 out of 5 stars
H2654,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H2663,Local CCP,Coventry Health Care Inc.,"Group Health Plan, Inc.",4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H2667,Local CCP,Sisters of Mercy Health System-St. Louis.,"Mercy Health Plans of Missouri, Inc.",4 out of 5 stars,3 out of 5 stars,5 stars,3 out of 5 stars,2 out of 5 stars
H2672,Local CCP,Coventry Health Care Inc.,"Coventry Health Care of Kansas, Inc.",4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,2 out of 5 stars
H2699,National PACE,"LIFE AT HOME, LLC","Life at Home, LLC",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H2701,Local CCP,New West Health Services,New West Health Services,4 out of 5 stars,2 out of 5 stars,4 out of 5 stars,5 stars,3 out of 5 stars
H2762,PFFS,CIGNA,CIGNA Medicare Access,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H2773,Local CCP,"Quality Health Plans, Inc.",QUALITY HEALTH PLANS,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2775,Local CCP,Universal American Corp.,Universal American,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2802,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H2803,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H2810,Local CCP,Group Health Cooperative,"Group Health Options, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2815,National PACE,Volunteers of America National Services,Senior CommUnity Care of Colorado,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H2899,Local CCP,Arcadian Management Services Inc.,Southeast Community Care,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H2905,Local CCP,"UnitedHealth Group, Inc.","Sierra Health and Life Insurance Company, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,3 out of 5 stars
H2906,Local CCP,Renown Health,Senior Care Plus,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars,3 out of 5 stars
H2926,Local CCP,PrimeWest Health System,PrimeWest Health,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars
H2931,Local CCP,"UnitedHealth Group, Inc.","Health Plan of Nevada, Inc.",3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,5 stars,2 out of 5 stars
H2936,National PACE,LifeCircles,LIFECIRCLES,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2941,National PACE,Sentara Health Care (SHC),Sentara Senior Community Care,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H2944,PFFS,Humana Inc.,Humana Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2949,Local CCP,Humana Inc.,"Humana Health Plan, Inc.",3 out of 5 stars,Not enough data to calculate stars for this category,1 out of 5 stars,4 out of 5 stars,2 out of 5 stars
H2960,Local CCP,Renown Health,Senior Care Plus,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H2961,Local CCP,"UnitedHealth Group, Inc.","Health Plan of Nevada, Inc.",3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,2 out of 5 stars
H2997,Local CCP,"Wellpoint, Inc.",Anthem Blue Cross and Blue Shield,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,Not enough data to calculate stars for this category
H3028,Local CCP,Humana Inc.,"Humana Health Plan, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3044,Local CCP,Welborn Clinic,Welborn Health Plans,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars,Not enough data to calculate stars for this category,4 out of 5 stars
H3059,Local CCP,"PSO Health Services, LLC",PHYSICIANS HEALTH CHOICE OF NEW MEXICO,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,4 out of 5 stars
H3081,Local CCP,Educators Mutual Insurance Association,Educators Mutual Insurance Association,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3107,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H3113,Local CCP,"UnitedHealth Group, Inc.",Evercare« by UnitedHealthcare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars
H3132,Local CCP,AIDS Healthcare Foundation,Positive Healthcare Partners,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars
H3152,Local CCP,Aetna Inc.,Aetna Medicare,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H3154,Local CCP,"Horizon Blue Cross Blue Shield of New Jersey, Inc.","Horizon Blue Cross Blue Shield of New Jersey, Inc.",3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H3156,Local CCP,Independence Blue Cross,AmeriHealth 65,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H3164,Local CCP,"UnitedHealth Group, Inc.",AmeriChoice Personal Care Plus,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category,5 stars
H3204,Local CCP,Presbyterian Healthcare Services,Presbyterian Senior Care,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,5 stars,3 out of 5 stars
H3206,Local CCP,Presbyterian Healthcare Services,Presbyterian MediCare PPO,4 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H3209,Local CCP,"UnitedHealth Group, Inc.",Evercare« by UnitedHealthcare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars
H3214,Local CCP,"First Medical Health Plan of Florida, Inc.","First Medical Health Plan of Florida, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars
H3240,Local CCP,AMERIGROUP Corporation,AMERIGROUP Community Care,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,4 out of 5 stars
H3251,Local CCP,Ardent Health Services.,Lovelace Senior Plan,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,5 stars,4 out of 5 stars
H3304,1876 Cost,"Lifetime Healthcare, Inc.","Excellus Health Plan, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H3305,Local CCP,"MVP Health Care, Inc.",MVP HEALTH CARE,4 out of 5 stars,3 out of 5 stars,5 stars,5 stars,4 out of 5 stars
H3307,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H3312,Local CCP,Aetna Inc.,Aetna Medicare,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H3314,1876 Cost,EmblemHealth Inc.,HIP Health Plan of Greater New York,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,1 out of 5 stars,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H3321,National PACE,Loretto Rest Realty Corporation,Independent Living Srvcs Of Central Ny,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H3322,National PACE,"Senior Care Connection, Inc.",Eddy Senior Care,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H3327,Local CCP,"Touchstone Health Partnership, Inc",Touchstone Health,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars
H3328,Local CCP,"The New York State Catholic Health Plan, Inc.",Fidelis Care,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H3329,National PACE,Bethco Corporation,Comprehensive Care Management Corp.,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H3330,Local CCP,EmblemHealth Inc.,HIP Medicare HMO,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H3331,National PACE,Rochester General Hospital,"Independent Living For Seniors, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H3333,PFFS,Universal American Corp.,Universal American,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars
H3335,Local CCP,"Lifetime Healthcare, Inc.","Excellus Health Plan, Inc",4 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,5 stars
H3336,Local CCP,Brookdale University and Hospital,Neighborhood Health Providers,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H3337,Local CCP,"Liberty Health Advantage, Inc.",Liberty Health Advantage,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,1 out of 5 stars,4 out of 5 stars
H3338,HCPP - 1833 Cost,National Health Plan Network Inc,National Health Plan Network Inc.,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H3342,Local CCP,"Wellpoint, Inc.",Empire BlueCross BlueShield,4 out of 5 stars,Not enough data to calculate stars for this category,2 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H3344,Local CCP,"Independent Health Association, Inc.",Independent Health,4 out of 5 stars,2 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H3346,Local CCP,"MVP Health Care, Inc.",MVP HEALTH CARE,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,5 stars,5 stars,4 out of 5 stars
H3347,Local CCP,"Elderplan, Inc.",Elderplan,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H3351,Local CCP,"Lifetime Healthcare, Inc.","Excellus Health Plan, Inc",4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars
H3356,1876 Cost,"Lifetime Healthcare, Inc.","Excellus Health Plan, Inc",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H3359,Local CCP,"HealthFirst, Inc",Healthfirst Medicare Plan,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H3361,Local CCP,"WellCare Health Plans, Inc.",WellCare,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars
H3362,Local CCP,"Independent Health Association, Inc.",Independent Health,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars
H3366,Local CCP,"Touchstone Health Partnership, Inc",Touchstone Health,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,1 out of 5 stars,3 out of 5 stars
H3370,Local CCP,"Wellpoint, Inc.",Empire BlueCross BlueShield,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H3379,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H3384,Local CCP,HealthNow New York Inc.,Senior Blue,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H3387,Local CCP,"UnitedHealth Group, Inc.",AmeriChoice Personal Care Plus,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars
H3388,Local CCP,"Capital District Physicians' Health Plan, Inc.",CDPHP Medicare Choices,4 out of 5 stars,3 out of 5 stars,5 stars,4 out of 5 stars,5 stars
H3404,Local CCP,Blue Cross and Blue Shield of North Carolina,"PARTNERS National Health Plans, a BCBSNC company",4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H3405,Local CCP,Humana Inc.,Humana Insurance Company,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,2 out of 5 stars
H3430,National PACE,National Health Plan Network Inc,Neighborly Care PACE Center,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3435,Demo,"UnitedHealth Group, Inc.",Erickson Advantage,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H3449,Local CCP,Blue Cross and Blue Shield of North Carolina,"PARTNERS National Health Plans, a BCBSNC company",4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H3456,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H3493,National PACE,Life St. Francis,LIFE at Lourdes,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3503,1876 Cost,Heart of America HMO,Heart of America Health Plan,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H3518,PFFS,Blue Cross and Blue Shield of Florida,"Blue Cross and Blue Shield of Florida, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars
